Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Minnesota Timberwolves,5,240,41.2,84.8,0.486,12,32.2,0.373,29.2,52.6,0.555,21.4,25.2,0.849,12.4,33,45.4,24.4,6.8,3.4,13.8,23.4,115.8
2,Indiana Pacers,6,244.2,43.2,90.2,0.479,14,40.7,0.344,29.2,49.5,0.589,12.7,17.8,0.71,10.3,33.5,43.8,30.2,4.5,4.5,9.8,19.3,113
3,Milwaukee Bucks,6,244.2,40.8,86.3,0.473,11.2,31.5,0.354,29.7,54.8,0.541,17.3,21.2,0.819,9.5,33.2,42.7,22.2,5.3,3.2,10.7,18.7,110.2
4,New York Knicks,6,244.2,39.5,89.5,0.441,11.8,32,0.37,27.7,57.5,0.481,17.5,24,0.729,14.5,31,45.5,22.5,5.3,7.2,10.8,19.2,108.3
5,Philadelphia 76ers,6,244.2,37,83.3,0.444,13.5,35.7,0.379,23.5,47.7,0.493,20.7,24.7,0.838,10.7,30.5,41.2,23,5.5,6.3,11.8,21.5,108.2
6,Boston Celtics,5,240,38.6,81.4,0.474,15,39,0.385,23.6,42.4,0.557,15.6,20.6,0.757,9,36.6,45.6,22.8,5.8,5.2,11.2,15.6,107.8
7,Dallas Mavericks,6,240,38.2,82.2,0.465,11.7,34.8,0.335,26.5,47.3,0.56,19,26.2,0.726,12,30.3,42.3,21.2,7.2,6.3,11.5,20.2,107
8,Denver Nuggets,6,240,41,88.5,0.463,11,33.8,0.325,30,54.7,0.549,14,16.5,0.848,9.8,34.2,44,27,7.3,3,11.3,16.7,107
9,Los Angeles Lakers,5,240,41.6,84.6,0.492,8.8,29.4,0.299,32.8,55.2,0.594,14.4,18.8,0.766,7.4,33.2,40.6,24.4,6,4,11,16.6,106.4
10,Oklahoma City Thunder,4,240,39.5,82,0.482,13.3,34.3,0.387,26.3,47.8,0.55,13,17.5,0.743,7.5,35.5,43,22.8,8,5.3,13,16,105.3
11,Phoenix Suns,4,240,35.3,75.8,0.465,9.5,26,0.365,25.8,49.8,0.518,23.3,28,0.83,7.3,25.3,32.5,19.8,7.5,4.3,14.3,23.3,103.3
12,Orlando Magic,6,240,36.3,83.7,0.434,10.3,33.7,0.307,26,50,0.52,18.3,24.3,0.753,11,33.3,44.3,19.7,7.5,5.3,14,19.8,101.3
13,Los Angeles Clippers,6,240,35.7,82.2,0.434,11.8,31.7,0.374,23.8,50.5,0.472,17.2,21.7,0.792,11.2,30.8,42,20.2,6.2,3.2,13.5,22.8,100.3
14,Cleveland Cavaliers,6,240,36,81.8,0.44,8.7,30.8,0.281,27.3,51,0.536,13.5,18.3,0.736,7.8,32.2,40,20.8,8.2,5.7,14.5,21.5,94.2
15,Miami Heat,5,240,35.6,81.2,0.438,11.2,34,0.329,24.4,47.2,0.517,9.8,12,0.817,5.6,30.6,36.2,21.2,4.6,1.4,11.6,16.8,92.2
16,New Orleans Pelicans,4,240,33.5,84.5,0.396,8.8,32.8,0.267,24.8,51.8,0.478,13.8,16,0.859,12.3,33.3,45.5,19.5,8.8,4.5,18,20,89.5
,League Average,5,241.2,38.4,84.1,0.457,11.5,33.4,0.343,27,50.7,0.532,16.4,20.9,0.783,10,32.3,42.3,22.7,6.5,4.6,12.4,19.5,104.7
