Player,Position ,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Nikola Jokić,Center,28,8,8,40,10.1,18.6,0.544,1.1,3.9,0.29,9,14.8,0.61,0.574,5.3,5.6,0.933,3.8,11.1,14.9,9.4,1.5,0.6,3.8,2.9,26.6,2024
Jamal Murray,Point Guard,26,8,8,38.4,8.5,21.6,0.393,1.8,5.9,0.298,6.8,15.8,0.429,0.434,2.1,2.4,0.895,0.9,4.3,5.1,5.9,0.8,0.8,2.5,2.3,20.9,2024
Michael Porter Jr.,Small Forward,25,8,8,38.4,7.3,13.9,0.523,3.6,7.5,0.483,3.6,6.4,0.569,0.653,2.4,3.1,0.76,0.6,6.5,7.1,1.3,1.4,0.5,1.6,1.8,20.5,2024
Aaron Gordon,Power Forward,28,8,8,37.5,5.6,10,0.563,0.9,2.5,0.35,4.8,7.5,0.633,0.606,1.8,2.4,0.737,3,4.3,7.3,4.5,1,0.1,1.4,2,13.9,2024
Kentavious Caldwell-Pope,Shooting Guard,30,8,8,35.4,2.9,7.4,0.39,1.3,4.5,0.278,1.6,2.9,0.565,0.475,1,1,1,0.5,1.9,2.4,2.3,1.6,0.3,1,3.1,8,2024
Christian Braun,6th man ,22,8,0,14,1.8,4.1,0.424,0.3,1.5,0.167,1.5,2.6,0.571,0.455,0.4,0.6,0.6,0.9,1.4,2.3,0.3,0.1,0.3,0,1.1,4.1,2024
Justin Holiday,7th man ,34,8,0,11.6,1,2.9,0.348,1,2.5,0.4,0,0.4,0,0.522,0.1,0.3,0.5,0.1,1.4,1.5,0.4,0.6,0,0.1,1.1,3.1,2024
Jamal Murray,Point Guard,25,20,20,40,9.7,20.5,0.473,3,7.5,0.396,6.8,13.1,0.517,0.545,3.8,4.1,0.926,0.8,4.9,5.7,7.1,1.5,0.3,2.5,2.1,26.1,2023
Nikola Jokić,Center,27,20,20,39.5,11.4,20.7,0.548,1.8,3.8,0.461,9.6,16.9,0.568,0.591,5.6,7,0.799,3.5,10,13.5,9.5,1.1,1,3.5,3.5,30,2023
Aaron Gordon,Power Forward,27,20,20,35.7,5.1,9.8,0.518,0.9,2.3,0.391,4.2,7.5,0.557,0.564,2.3,3.5,0.652,2.5,3.6,6,2.6,0.6,0.7,1,2.9,13.3,2023
Kentavious Caldwell-Pope,Shooting Guard,29,20,20,33.6,3.7,8.1,0.457,1.8,4.6,0.38,2,3.5,0.557,0.565,1.5,1.8,0.829,0.7,2.6,3.3,1.6,1.3,0.7,0.8,2.4,10.6,2023
Michael Porter Jr.,Small Forward,24,20,20,32.7,5,11.7,0.423,2.3,6.6,0.351,2.7,5.2,0.515,0.521,1.2,1.5,0.793,1,7.1,8.1,1.6,0.5,0.6,0.5,2.1,13.4,2023
Bruce Brown,6th man ,26,20,0,26.5,4.5,8.8,0.511,0.9,2.9,0.316,3.6,6,0.605,0.563,2.1,2.5,0.857,0.8,3.3,4,1.9,1.1,0.5,1.2,2.5,12,2023
Jeff Green,7th man ,36,20,0,17.2,1.4,3.1,0.452,0.5,1.4,0.321,1,1.7,0.559,0.524,0.9,1,0.895,0.3,1.3,1.6,0.7,0.3,0.4,0.5,2.2,4.1,2023
Christian Braun,8th man ,21,19,0,13,1.3,2.4,0.533,0.1,0.5,0.2,1.2,1.8,0.629,0.556,0.6,1,0.579,0.6,1.4,2.1,0.6,0.6,0.2,0.5,1.5,3.2,2023
Will Barton,Point Guard,31,5,5,34.4,5.4,13.2,0.409,2.2,5.6,0.393,3.2,7.6,0.421,0.492,0.8,1.2,0.667,1,4.6,5.6,2.8,0.8,0.2,2,2.2,13.8,2022
Nikola Jokić,Center,26,5,5,34.2,12.2,21.2,0.575,1,3.6,0.278,11.2,17.6,0.636,0.599,5.6,6.6,0.848,3.4,9.8,13.2,5.8,1.6,1,4.8,4,31,2022
Aaron Gordon,Power Forward,26,5,5,32,4.6,10.8,0.426,0.6,3,0.2,4,7.8,0.513,0.454,4,5.6,0.714,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8,2022
Monte Morris,Small Forward,26,5,5,31.2,5,10.2,0.49,2.2,5.2,0.423,2.8,5,0.56,0.598,1.8,2.4,0.75,0.2,2,2.2,5.4,1.2,0,1.6,2.8,14,2022
Jeff Green,Shooting Guard,35,5,5,22.6,1.2,3.4,0.353,0.6,1.6,0.375,0.6,1.8,0.333,0.441,0.8,1,0.8,1.4,2.2,3.6,0.4,0.6,0.4,0.4,1.2,3.8,2022
Austin Rivers,6th man ,29,5,0,21.6,1.6,3.6,0.444,0.8,2.4,0.333,0.8,1.2,0.667,0.556,0.2,0.2,1,0,0.6,0.6,1.2,1.4,0.2,0.8,3,4.2,2022
Bones Hyland,7th man ,21,5,0,17.4,2.6,7.2,0.361,1.6,4.6,0.348,1,2.6,0.385,0.472,2.4,2.8,0.857,0.2,1.8,2,3.2,0.2,0,1.2,2.4,9.2,2022
Bryn Forbes,8th man ,28,5,0,15.2,1.2,3,0.4,0.8,2.2,0.364,0.4,0.8,0.5,0.533,0.8,1,0.8,0.2,0.4,0.6,1.4,0.2,0,0.4,1.4,4,2022
JaMychal Green,9th man ,31,5,0,13.8,1.2,3.2,0.375,0.2,1,0.2,1,2.2,0.455,0.406,1.4,1.4,1,0.6,1.8,2.4,0.4,0,0.2,0.4,2.4,4,2022
DeMarcus Cousins,10th man ,31,5,0,11.4,3.8,5.8,0.655,0.8,1.2,0.667,3,4.6,0.652,0.724,2.2,3,0.733,0.6,2.8,3.4,1.2,0.6,0.2,1.4,1.8,10.6,2022
Nikola Jokić,Center,25,10,10,34.5,11.6,22.8,0.509,2,5.3,0.377,9.6,17.5,0.549,0.553,4.6,5.5,0.836,3.7,7.9,11.6,5,0.6,0.9,2.4,2.3,29.8,2021
Michael Porter Jr.,Small Forward,22,10,10,33.2,6.4,13.5,0.474,2.9,7.3,0.397,3.5,6.2,0.565,0.581,1.7,2.1,0.81,1.2,5,6.2,1.3,1.1,0.3,1.6,3.1,17.4,2021
Austin Rivers,Point Guard,28,10,9,30.5,3,6.9,0.435,1.9,4.6,0.413,1.1,2.3,0.478,0.572,1.3,1.6,0.813,0.1,1.6,1.7,2.1,0.2,0.3,0.9,3.2,9.2,2021
Aaron Gordon,Power Forward,25,10,10,29.9,4.3,9.9,0.434,0.9,2.3,0.391,3.4,7.6,0.447,0.48,1.6,2.5,0.64,2.1,3.3,5.4,2,0.5,0.3,1.4,2.3,11.1,2021
Monte Morris,Shooting Guard,25,10,1,28.6,5,11.6,0.431,1.6,4,0.4,3.4,7.6,0.447,0.5,2.1,2.9,0.724,0.7,1.7,2.4,5.5,1,0.2,0.7,1.2,13.7,2021
Will Barton,6th man ,30,3,1,27.7,6.3,14.3,0.442,2.3,7,0.333,4,7.3,0.545,0.523,1.3,1.3,1,0.3,4,4.3,2.7,0.7,0.3,1.3,1.3,16.3,2021
Facundo Campazzo,7th man ,29,10,9,27,2.9,7.4,0.392,1.9,4.8,0.396,1,2.6,0.385,0.52,1.6,1.9,0.842,0.7,2.3,3,4.1,1.4,0.4,1.5,3.5,9.3,2021
JaMychal Green,8th man ,30,10,0,19,2,4.5,0.444,0.6,2,0.3,1.4,2.5,0.56,0.511,0.8,0.9,0.889,1.7,3.5,5.2,1.1,0.2,0.2,0.3,1.2,5.4,2021
Markus Howard,9th man ,21,9,0,12.4,1.7,4.1,0.405,1.2,2.9,0.423,0.4,1.2,0.364,0.554,0.1,0.2,0.5,0.1,0.7,0.8,0.4,0,0.1,0,1.1,4.7,2021
Paul Millsap,10th man ,35,9,0,12.1,2.4,5.6,0.44,0.7,2.6,0.261,1.8,3,0.593,0.5,0.9,1.4,0.615,1,2.9,3.9,1.7,0.3,0.7,0.9,1.6,6.4,2021
Jamal Murray,Point Guard,22,19,19,39.6,9.8,19.4,0.505,3.3,7.2,0.453,6.5,12.2,0.537,0.59,3.7,4.1,0.897,1.1,3.8,4.8,6.6,0.9,0.3,2.8,2.2,26.5,2020
Nikola Jokić,Center,24,19,19,36.5,9.4,18.1,0.519,2.2,5.2,0.429,7.2,12.9,0.555,0.58,3.5,4.2,0.835,1.9,7.9,9.8,5.7,1.1,0.8,3.3,3.6,24.4,2020
Jerami Grant,Small Forward,25,19,16,34.4,3.7,9.2,0.406,1.6,5,0.326,2.1,4.2,0.5,0.494,2.5,2.8,0.889,0.4,2.9,3.3,1.3,0.6,0.8,1.3,3.1,11.6,2020
Gary Harris,Shooting Guard,25,14,12,27.1,2.4,6.4,0.378,1.4,3.7,0.365,1.1,2.7,0.395,0.483,1.2,1.6,0.773,0.5,1.5,2,1.7,1.1,0.3,1.5,3.2,7.4,2020
Paul Millsap,Power Forward,34,19,19,24.2,2.5,6.2,0.398,0.8,2.3,0.341,1.7,3.9,0.432,0.462,2.3,2.8,0.796,1.4,3.3,4.7,1.2,0.6,0.5,1.3,2.6,8,2020
Michael Porter Jr.,6th man ,21,19,3,23.7,4.1,8.6,0.476,1.8,4.7,0.382,2.3,3.9,0.587,0.579,1.4,1.8,0.743,1.1,5.6,6.7,0.8,0.7,0.3,1.3,2.3,11.4,2020
Monte Morris,7th man ,24,19,4,21.4,3.5,7,0.496,0.6,2.1,0.3,2.8,4.9,0.581,0.541,1.5,1.8,0.824,0.2,1.3,1.5,2.7,0.6,0.1,0.5,1.1,9.1,2020
Torrey Craig,8th man ,29,19,3,19.7,1.7,4.1,0.423,0.6,2.2,0.262,1.2,1.9,0.611,0.494,0.5,0.7,0.692,0.7,2.6,3.3,0.7,0.4,0.4,0.5,2.3,4.5,2020
